ticker,report_date,report_type,company_name,source_url
VCT,2026-07-07,TRADING_STMT,Victrex PLC,https://quartr.com/companies/victrex-plc_13599?utm_source=api&utm_medium=25
BTG,2026-07-07,PRELIM,BTG Consulting PLC,https://quartr.com/companies/btg-consulting-plc_18753?utm_source=api&utm_medium=25
GYM,2026-07-08,TRADING_STMT,The Gym Group PLC,https://quartr.com/companies/the-gym-group-plc_14307?utm_source=api&utm_medium=25
PNN,2026-07-08,TRADING_STMT,Pennon Group PLC,https://quartr.com/companies/pennon-group-plc_13585?utm_source=api&utm_medium=25
HSW,2026-07-09,TRADING_STMT,Hostelworld Group PLC,https://quartr.com/companies/hostelworld-group-plc_17908?utm_source=api&utm_medium=25
SVT,2026-07-09,TRADING_STMT,Severn Trent PLC,https://quartr.com/companies/severn-trent-plc_13428?utm_source=api&utm_medium=25
GLE,2026-07-10,TRADING_STMT,M.J. Gleeson PLC,https://quartr.com/companies/mj-gleeson-plc_14742?utm_source=api&utm_medium=25
PAGE,2026-07-13,TRADING_STMT,PageGroup PLC,https://quartr.com/companies/pagegroup-plc_14139?utm_source=api&utm_medium=25
PLUS,2026-07-13,TRADING_STMT,Plus500 Ltd.,https://quartr.com/companies/plus500-ltd_5220?utm_source=api&utm_medium=25
ICG,2026-07-15,TRADING_STMT,ICG PLC,https://quartr.com/companies/icg-plc_12437?utm_source=api&utm_medium=25
VRCI,2026-07-15,INTERIM,Verici Dx PLC,https://quartr.com/companies/verici-dx-plc_15408?utm_source=api&utm_medium=25
BME,2026-07-15,TRADING_STMT,B&M European Value Retail PLC,https://quartr.com/companies/bm-european-value-retail-sa_12133?utm_source=api&utm_medium=25
HTG,2026-07-15,TRADING_STMT,Hunting PLC,https://quartr.com/companies/hunting-plc_14196?utm_source=api&utm_medium=25
QQ,2026-07-16,TRADING_STMT,QinetiQ Group PLC,https://quartr.com/companies/qinetiq-group-plc_13592?utm_source=api&utm_medium=25
VTY,2026-07-16,TRADING_STMT,Vistry Group PLC,https://quartr.com/companies/vistry-group-plc_13355?utm_source=api&utm_medium=25
FCH,2026-07-16,TRADING_STMT,Funding Circle Holdings PLC,https://quartr.com/companies/funding-circle-holdings-plc_15257?utm_source=api&utm_medium=25
DFS,2026-07-16,TRADING_STMT,DFS Furniture Co. PLC,https://quartr.com/companies/dfs-furniture-plc_14229?utm_source=api&utm_medium=25
TRST,2026-07-16,TRADING_STMT,Trustpilot Group PLC,https://quartr.com/companies/trustpilot-group-plc_5329?utm_source=api&utm_medium=25
SSE,2026-07-16,TRADING_STMT,SSE PLC,https://quartr.com/companies/sse-plc_5010?utm_source=api&utm_medium=25
BOOM,2026-07-16,TRADING_STMT,Audioboom Group PLC,https://quartr.com/companies/audioboom-group-plc_11948?utm_source=api&utm_medium=25
BRBY,2026-07-17,TRADING_STMT,Burberry Group PLC,https://quartr.com/companies/burberry-group-plc_11365?utm_source=api&utm_medium=25
BOOM,2026-07-17,INTERIM,Audioboom Group PLC,https://quartr.com/companies/audioboom-group-plc_11948?utm_source=api&utm_medium=25
MIDW,2026-07-21,TRADING_STMT,Midwich Group PLC,https://quartr.com/companies/midwich-group-plc_16789?utm_source=api&utm_medium=25
GNC,2026-07-22,TRADING_STMT,Greencore Group PLC,https://quartr.com/companies/greencore-group-plc_14255?utm_source=api&utm_medium=25
SRC,2026-07-22,TRADING_STMT,SigmaRoc Plc,https://quartr.com/companies/sigmaroc-plc_12466?utm_source=api&utm_medium=25
III,2026-07-23,QUARTERLY,3i Group PLC,https://quartr.com/companies/3i-group-plc_12126?utm_source=api&utm_medium=25
EZJ,2026-07-23,TRADING_STMT,easyJet PLC,https://quartr.com/companies/easyjet-plc_11349?utm_source=api&utm_medium=25
ATG,2026-07-23,TRADING_STMT,Auction Technology Group PLC,https://quartr.com/companies/auction-technology-group-plc_4022?utm_source=api&utm_medium=25
WIZZ,2026-07-23,QUARTERLY,Wizz Air Holdings PLC,https://quartr.com/companies/wizz-air-holdings-plc_5474?utm_source=api&utm_medium=25
VOD,2026-07-23,QUARTERLY,Vodafone Group PLC,https://quartr.com/companies/vodafone-group-plc_4329?utm_source=api&utm_medium=25
AAF,2026-07-23,QUARTERLY,Airtel Africa PLC,https://quartr.com/companies/airtel-africa-plc_6097?utm_source=api&utm_medium=25
UTG,2026-07-24,INTERIM,Unite Group PLC,https://quartr.com/companies/unite-group-plc_13506?utm_source=api&utm_medium=25
APTD,2026-07-24,INTERIM,Aptitude Software Group PLC,https://quartr.com/companies/aptitude-software-group-plc_17017?utm_source=api&utm_medium=25
FRAN,2026-07-24,INTERIM,Franchise Brands PLC,https://quartr.com/companies/franchise-brands-plc_14322?utm_source=api&utm_medium=25
NICL,2026-07-24,INTERIM,Nichols PLC,https://quartr.com/companies/nichols-plc_17546?utm_source=api&utm_medium=25
WIX,2026-07-24,INTERIM,Wickes Group PLC,https://quartr.com/companies/wickes-group-plc_12039?utm_source=api&utm_medium=25
DSCV,2026-07-24,TRADING_STMT,Discoverie Group PLC,https://quartr.com/companies/discoverie-group-plc_14233?utm_source=api&utm_medium=25
CWK,2026-07-27,TRADING_STMT,Cranswick PLC,https://quartr.com/companies/cranswick-plc_14221?utm_source=api&utm_medium=25
COA,2026-07-28,INTERIM,Coats Group PLC,https://quartr.com/companies/coats-group-plc_13350?utm_source=api&utm_medium=25
BARC,2026-07-28,QUARTERLY,Barclays PLC,https://quartr.com/companies/barclays-plc_10241?utm_source=api&utm_medium=25
LUCE,2026-07-28,TRADING_STMT,Luceco PLC,https://quartr.com/companies/luceco-plc_17907?utm_source=api&utm_medium=25
STAF,2026-07-28,INTERIM,Staffline Group PLC,https://quartr.com/companies/staffline-group-plc_20546?utm_source=api&utm_medium=25
PAY,2026-07-29,TRADING_STMT,PayPoint PLC,https://quartr.com/companies/paypoint-plc_14158?utm_source=api&utm_medium=25
GRG,2026-07-29,INTERIM,Greggs PLC,https://quartr.com/companies/greggs-plc_11385?utm_source=api&utm_medium=25
ECOR,2026-07-29,TRADING_STMT,Ecora Royalties PLC,https://quartr.com/companies/ecora-royalties-plc_14237?utm_source=api&utm_medium=25
AML,2026-07-29,QUARTERLY,Aston Martin Lagonda Global Holdings PLC,https://quartr.com/companies/aston-martin-lagonda-global-holdings-plc_10196?utm_source=api&utm_medium=25
SEPL,2026-07-29,QUARTERLY,Seplat Energy PLC,https://quartr.com/companies/seplat-energy-plc_14155?utm_source=api&utm_medium=25
RKT,2026-07-29,QUARTERLY,Reckitt Benckiser Group PLC,https://quartr.com/companies/reckitt-benckiser-group-plc_3533?utm_source=api&utm_medium=25
GSK,2026-07-29,QUARTERLY,GSK PLC,https://quartr.com/companies/gsk-plc_5175?utm_source=api&utm_medium=25
PETS,2026-07-30,TRADING_STMT,Pets at Home Group PLC,https://quartr.com/companies/pets-at-home-group-plc_14163?utm_source=api&utm_medium=25
RWA,2026-07-30,INTERIM,Robert Walters PLC,https://quartr.com/companies/robert-walters-plc_14166?utm_source=api&utm_medium=25
