fingerprint,date,ticker,director,type,shares,price,value,n_signals,url
032a88b36320064a,2025-12-03,BA,Caitlin Hayden,BUY,3,16.314,48.94,2,
03b12840f77ae5fd,2026-03-20,TSTL,Caroline Stephens,BUY,20,3.8247000000000004,76.49,1,https://www.investegate.co.uk/announcement/rns/tristel--tstl/director-pdmr-shareholding/9485810
0470277d0b0d0915,2025-12-09,PAG,Richard James Woodman,BUY,9,8.082995,72.75,2,https://www.investegate.co.uk/announcement/rns/paragon-banking-group--pag/director-pdmr-shareholding/9285232
0499885621ce8cb0,2025-12-02,GHH,Louise Evans,BUY,2,5.23,10.46,1,https://www.investegate.co.uk/announcement/rns/gooch-housego--ghh/director-pdmr-shareholding-/9270514
04b28695b2fefbc6,2025-11-05,BNC,THIS NOTIFICATION RELATES TO MR. MAHESH CHATTA ADITYA,SELL,5,0.0,0.0,0,
07a6e3cef0904507,2025-12-05,SSPG,Patrick Coveney,GRANT,5,1.6485,8.24,0,https://www.investegate.co.uk/announcement/rns/ssp-group--sspg/director-pdmr-shareholding/9283224
07bf884ee0346513,2026-02-12,DSCV,Clive Watson,BUY,12,6.4035,76.84,2,https://www.investegate.co.uk/announcement/rns/discoverie-group--dscv/director-pdmr-shareholding-/9428882
090453c238c0ef0c,2026-04-13,UU,Adrienne McFarland,SIP,13,13.771956,179.04,0,
0a0e9861bb2c04fb,2026-02-24,TSCO,Number of Ordinary shares sold,SELL,24,5.0,120.0,0,
0d78440b2a03c9a6,2026-03-04,BATS,Javed Iqbal,SIP,4,45.03191,180.13,0,
0d9e62be4d057638,2025-06-09,SCT,Graham Charlton,SIP,9,18.15,163.35,0,https://www.investegate.co.uk/announcement/rns/softcat--sct/director-pdmr-shareholding/8922468
0dd3c88d603d4b3f,2025-08-01,BATS,Cora Koppe-Stahrenberg,SIP,1,41.10106,41.1,0,
1070f428a5e9b3f4,2026-03-26,GNC,LESLIE VAN DE WALLE AND Domitille marie Ren,BUY,26,2.41,62.66,0,https://www.investegate.co.uk/announcement/rns/greencore-group-cdi---gnc/director-pdmr-shareholding/9494512
10eae3a98e6e6d19,2025-05-06,JDG,Ian Wilcock,SIP,6,63.0,378.0,0,
138c73d5b1537c52,2025-09-17,BTRW,Geeta Nanda,BUY,17,3.692,62.76,1,https://www.investegate.co.uk/announcement/rns/barratt-redrow--btrw/director-pdmr-shareholding/9116940
1406264bf206e9e5,2025-11-04,BNC,THIS NOTIFICATION RELATES TO MR. JUAN MARIA OLAIZOLA BARTOLOME,SELL,4,8.746,34.98,0,
154e6fc63607afff,2026-03-27,GAW,Kevin Rountree,BUY,27,179.35,4842.45,0,https://www.investegate.co.uk/announcement/rns/games-workshop-group--gaw/director-pdmr-shareholding/9506367
1698da444eeb64c3,2025-12-17,BNC,THIS NOTIFICATION RELATES TO MR. NITIN PRABHU,SELL,17,9.95,169.15,0,
1769a87af408d3f7,2026-01-16,SSPG,Satya Menard,SIP,16,1.917,30.67,0,https://www.investegate.co.uk/announcement/rns/ssp-group--sspg/director-pdmr-shareholding/9366309
18018121ccbf83c2,2026-04-13,UU,Louise Beardmore,SIP,13,13.771956,179.04,0,
1d0ba7ce6091b615,2026-04-27,CCC,Michael John Norris,SELL,27,37.8813,1022.8,0,https://www.investegate.co.uk/announcement/rns/computacenter--ccc/director-pdmr-shareholding/9542251
1f4616967cfc028a,2025-10-16,FEVR,Kevin Havelock,BUY,16,8.68,138.88,1,https://www.investegate.co.uk/announcement/rns/fevertree-drinks--fevr/director-pdmr-shareholding/9182427
203ac15f618eaf12,2025-12-10,DSCV,Bruce Thompson,BUY,10,6.053,60.53,1,
23a313c279abdfd6,2025-09-29,ZTF,Gary Christopher McGrath,GRANT,29,4.029,116.84,0,https://www.investegate.co.uk/announcement/rns/zotefoams--ztf/notification-of-transactions-of-directors-pdmrs-/9141162
250f0fc90977b5b0,2026-02-17,SGE,Lori Mitchell-Keller,BUY,17,8.3937,142.69,2,https://www.investegate.co.uk/announcement/rns/sage-group--sge/director-pdmr-shareholding/9438568
29b3c536fd8e28f2,2025-08-11,RCDO,"Natasha Perfect (the "" Participant "")",SIP,11,4.2285,46.51,0,
2c66a7e200393cb0,2025-12-03,BATS,Tadeu Marroco,SIP,3,44.1,132.3,0,
31d06b59dd4b469c,2025-12-18,RST,Charles Skinner,BUY,18,2.7269,49.08,2,https://www.investegate.co.uk/announcement/rns/restore--rst/director-pdmr-shareholding/9309434
39f6522a4ec56ebb,2026-03-26,MGAM,Laurent Cohen-Scali,SELL_TAX,26,1.972,51.27,0,
3b1daf31b2d1ff4e,2026-03-04,KLR,Paul Leonard,SELL,4,0.0,0.0,0,
3b6592b1adf210c0,2025-12-02,BGEO,Andrew McIntyre,BUY,2,90.33227,180.66,1,
3cc08929fa82349b,2025-12-04,SGE,Amy Cosgrove,SELL_TAX,4,10.664,42.66,0,https://www.investegate.co.uk/announcement/rns/sage-group--sge/director-pdmr-shareholding/9279531
3e32d7c31c95a33f,2025-12-18,SSPG,Jonathan Robinson,GRANT,18,2.046,36.83,0,
414ce5406315cebb,2024-08-27,WISE,Aspen Elizabeth Alida Peacock,BUY,27,7.171538,193.63,2,
415e1b373a6f3376,2026-02-13,WYN,Alk Brand,BUY,13,0.0,0.0,1,
41a744d201a03c0d,2025-09-03,BATS,James Murphy,SIP,3,40.92136,122.76,0,
433ad089e50fb757,2026-03-09,BBOX,Alastair Hughes,BUY,9,1.5312000000000001,13.78,1,
438f329c2c8bf3c6,2025-12-02,UU,Philip Aspin,SELL,2,49592.0,99184.0,0,
439880a14f027a72,2025-09-25,TKO,Kenneth Pickering,SELL,25,2.97,74.25,0,
452f7b69bfe322d1,2025-11-21,RFX,Simon Herrick,BUY,21,3.437,72.18,0,https://www.investegate.co.uk/announcement/rns/ramsdens-holdings--rfx/director-pdmr-shareholding/9251869
45d64f9234566c2c,2025-12-09,RST,Patrick Butcher,BUY,9,2.617,23.55,1,https://www.investegate.co.uk/announcement/rns/restore--rst/director-pdmr-shareholding/9288008
46a4d93e6af1d993,2025-11-14,RFX,Simon Herrick,BUY,14,3.6489999999999996,51.09,1,https://www.investegate.co.uk/announcement/rns/ramsdens-holdings--rfx/director-pdmr-shareholding/9237980
