fingerprint,date,ticker,director,role,type,shares,price,value,n_signals,url
026885ad1be20a45,2026-03-23,ESNT,Klaus G,Non-Executive Director,BUY,2026,0.9409671000000001,1906.4,2,https://www.investegate.co.uk/announcement/rns/essentra--esnt/director-pdmr-shareholding/9504169
0279bcce9548002f,2026-03-25,CRE,Elaine Whelan,Elaine Whelan - PDMR,GRANT,2026,0.0,0.0,0,https://www.investegate.co.uk/announcement/rns/conduit-holdings-limited-com-shs-di---cre/director-pdmr-shareholding/9498946
037e9657e7b77d8f,2026-04-30,AEX,Thomas Mackay,Director,SELL,2026,0.0216,43.76,0,https://www.investegate.co.uk/announcement/rns/aminex-cdi---aex/director-pdmr-shareholding/9547700
042ccfc77276028e,2026-05-07,MBH,Ryan Mahoney,CEO,GRANT,2026,0.0,0.0,0,https://www.investegate.co.uk/announcement/rns/michelmersh-brick-holdings--mbh/grant-of-options-and-pdmr-dealing/9557060
07dac526c1c5f4db,2026-02-02,KEN,Colin Bird,Executive Chairman,BUY,2026,0.00972825,19.71,1,
0aa05979b7a48707,2025-10-27,ESNT,Scott Fawcett,Chief Executive Officer,GRANT,2025,0.0,0.0,0,https://www.investegate.co.uk/announcement/rns/essentra--esnt/director-pdmr-shareholding/9198574
0e4811b0ad12351a,2026-01-02,DFIJ,Wai Man Chan,"Group Chief Legal, Sustainability and Corporate Affairs Officer",EXERCISE,2026,0.0,0.0,0,https://www.investegate.co.uk/announcement/rns/dfi-retail-group-holdings-limited-jersey-reg---dfij/director-pdmr-shareholding/9329842
1c825c7c2c013e8e,2026-05-19,GRG,RICHARD SMOTHERS,Non Executive Director / PDMR,BUY,2026,0.1693,343.0,1,https://www.investegate.co.uk/announcement/rns/greggs--grg/director-pdmr-shareholding/9576177
1da8ba3a95a1e747,2026-05-18,TRUE,Trevor Brown,CEO,SELL,2026,0.027000000000000003,54.7,0,https://www.investegate.co.uk/announcement/rns/truetide-plc--true/director-pdmr-shareholding/9574271
20907a43d365cb66,2026-04-10,CRE,Neil Eckert,Neil Eckert - PDMR,GRANT,2026,0.0,0.0,0,https://www.investegate.co.uk/announcement/rns/conduit-holdings-limited-com-shs-di---cre/director-pdmr-shareholding/9522266
