rank,director_name,director_key,n_buys,n_tickers,total_gbp,n_matured_primary,win_rate_primary,n_matured_t30,n_matured_t60,n_matured_t90,n_matured_t360,median_net_t30,median_net_t60,median_net_t90,median_net_t360,mean_net_t30,mean_net_t60,mean_net_t90,mean_net_t360
1,Ian Corfield,ian corfield,7,1,497659.24,5,0.6,7,7,5,0,0.11011,0.02337,0.25281,,0.06489,0.03126,0.16536,
2,Michael Tobin,michael tobin,4,1,67238.8,3,1.0,3,3,3,2,0.17206,-0.00821,0.22969,0.69964,0.20238,0.07492,0.21767,0.69964
3,Helen McCabe,helen mccabe,3,1,323.18,3,1.0,3,3,3,3,0.08535,0.18674,0.22725,0.32929,0.08541,0.1812,0.23274,0.32326
4,Rob Watson,rob watson,3,1,746.89,3,1.0,3,3,3,2,0.08465,0.16424,0.21108,0.28686,0.08518,0.16408,0.22735,0.28686
5,Serpil Timuray,serpil timuray,4,1,8012.58,3,0.6667,3,3,3,0,0.05327,-0.0654,0.13142,,0.02016,-0.08324,0.05802,
6,Abdurrahman Murat Timuray,abdurrahman murat timuray,4,1,8012.58,3,0.6667,3,3,3,0,0.05327,-0.0654,0.13142,,0.02016,-0.08324,0.05802,
7,Peter Durhager,peter durhager,8,1,156504.34,4,1.0,5,5,4,1,0.01686,0.05564,0.10531,0.45833,0.00931,0.08582,0.12332,0.45833
8,Bill Maldonado,bill maldonado,3,1,1040.97,3,1.0,3,3,3,3,0.0281,0.03793,0.09896,0.13937,0.02288,0.03726,0.08803,0.07549
9,Adrian Lewis,adrian lewis,4,1,12242.91,3,0.6667,3,3,3,1,0.05751,0.06079,0.0968,-0.00642,0.06721,0.01762,0.03503,-0.00642
10,Stuart Bridges,stuart bridges,11,1,203506.61,5,0.8,11,11,5,1,0.00865,0.03327,0.09567,0.45833,-0.01352,0.01936,0.08697,0.45833
11,Alison Hill,alison hill,3,1,25187.59,3,1.0,3,3,3,1,0.02909,0.05564,0.09567,0.45833,0.02934,0.07729,0.09436,0.45833
12,David Shillson,david shillson,4,1,40489.15,3,1.0,4,4,3,0,0.0025,0.09046,0.09567,,0.00112,0.09336,0.12611,
13,Solmaz Altin,solmaz altin,4,1,1381.96,4,1.0,4,4,4,3,0.03533,0.04941,0.07945,0.13937,0.03027,0.04887,0.08101,0.07549
14,David Stirling,david stirling,3,1,28395.0,3,0.6667,3,3,3,2,0.01128,-0.00207,0.07911,0.14869,0.03298,-0.04864,0.04012,0.14869
15,Rob Keijsers,rob keijsers,3,1,202476.5,3,0.6667,3,3,3,0,-0.02092,0.01766,0.07503,,-0.02051,-0.04358,0.06326,
16,Anil Wadhwani,anil wadhwani,9,1,927419.15,5,0.6,8,6,5,1,0.00506,0.03232,0.06685,0.15977,-0.03837,-0.0034,0.00775,0.15977
17,Catherine Chia,catherine chia,14,1,8233.77,11,0.6364,13,12,11,3,0.0281,0.0284,0.05993,0.13937,0.00181,0.00616,0.01929,0.07549
18,Avnish Kalra,avnish kalra,16,1,10604.37,13,0.6923,15,14,13,3,0.02001,0.02045,0.05714,0.13937,0.00012,0.00514,0.01605,0.07549
19,Ben Bulmer,ben bulmer,16,1,10271.95,13,0.6923,15,14,13,3,0.02001,0.02045,0.05714,0.13937,0.00012,0.00514,0.01605,0.07549
20,Dennis Tan,dennis tan,16,1,9619.81,13,0.6923,15,14,13,3,0.02001,0.02045,0.05714,0.13937,0.00012,0.00514,0.01605,0.07549
21,Kenneth Rappold,kenneth rappold,16,1,9122.54,13,0.6923,15,14,13,3,0.01889,0.02045,0.05714,0.13798,-0.00095,0.00428,0.01767,0.06823
22,Luciana Franco Do Amaral,luciana franco do amaral,6,1,251399.98,4,0.5,4,4,4,1,-0.00272,-0.04139,0.05342,0.39243,0.02461,0.0001,0.0916,0.39243
23,Stuart Chambers,stuart chambers,4,1,70803.82,3,0.6667,4,4,3,0,0.057,0.07921,0.05332,,0.05837,0.11132,0.08321,
24,Magali Anderson,magali anderson,4,1,29847.06,3,0.6667,4,4,3,0,0.057,0.07921,0.05332,,0.05837,0.11132,0.08321,
25,Nonkululeko Nyembezi,nonkululeko nyembezi,4,1,28490.25,3,0.6667,4,4,3,0,0.057,0.07921,0.05332,,0.05837,0.11132,0.08321,
26,Sue Whalley,sue whalley,9,1,8775.76,6,0.6667,8,7,6,0,-0.00558,0.06942,0.04151,,-0.0037,0.01559,0.05473,
27,North Atlantic Smaller Companies Investment Trust Plc,north atlantic smaller companies investment trust plc,4,1,322250.0,4,0.5,4,4,4,2,0.08375,0.0431,0.03586,-0.01649,0.08297,0.04681,0.03475,-0.01649
28,Constantin Cotzias,constantin cotzias,5,1,191428.94,3,0.6667,4,4,3,2,-0.01752,-0.02988,0.03487,0.28937,-0.01051,-0.01853,0.03892,0.28937
29,Rita-Rose Gagn,rita-rose gagn,3,1,16798.0,3,0.6667,3,3,3,1,-0.00259,0.0053,0.03005,-0.0212,-0.00262,0.00354,0.00095,-0.0212
30,Philippe Boisseau,philippe boisseau,9,1,15851.52,9,0.5556,9,9,9,1,-0.00372,0.01485,0.02849,0.00065,-0.00421,0.0137,0.03346,0.00065
31,Charlie Nunn,charlie nunn,4,1,728951.11,3,0.6667,4,4,3,0,-0.0039,0.02786,0.01409,,-0.00438,0.01366,0.0274,
32,William Chalmers,william chalmers,4,1,464944.02,3,0.6667,4,4,3,0,-0.0039,0.02786,0.01409,,-0.00438,0.01366,0.0274,
33,Tadeu Marroco,tadeu marroco,12,1,981021.56,8,0.5,10,8,8,2,0.03043,-0.04069,0.01352,0.30987,0.02755,-0.00953,0.07428,0.30987
34,David Waterfield,david waterfield,5,1,99179.76,4,0.5,5,4,4,1,0.03043,-0.04069,0.01352,0.22732,0.02933,-0.01917,0.05697,0.22732
35,Javed Iqbal,javed iqbal,4,1,33187.88,4,0.5,4,4,4,1,0.01587,-0.04069,0.01352,0.22732,0.02905,-0.01917,0.05697,0.22732
36,Fred Monteiro,fred monteiro,5,1,161537.89,4,0.5,5,4,4,1,0.03043,-0.04069,0.01352,0.22732,0.02933,-0.01917,0.05697,0.22732
37,Wendy Mars,wendy mars,15,2,28559.99,11,0.5455,13,12,11,2,-0.01047,0.01473,0.0124,0.28686,0.00937,0.02179,0.04359,0.28686
38,Birgit Behrendt,birgit behrendt,16,2,14994.97,11,0.5455,13,12,11,2,-0.01047,0.01473,0.0124,0.28686,0.00937,0.02179,0.04359,0.28686
39,Kris Licht,kris licht,3,1,237112.09,3,0.6667,3,3,3,1,-0.01612,0.00638,0.01188,-0.3298,-0.05214,-0.04904,-0.0648,-0.3298
40,Shannon Eisenhardt,shannon eisenhardt,3,1,20212.99,3,0.6667,3,3,3,1,-0.01612,0.00638,0.01188,-0.3298,-0.05214,-0.04904,-0.0648,-0.3298
